txn_id,event_number,type_x,amount_x,velocity,avg_amount,max_amount,min_amount,std_amount,receiver_frequency,receiver_diversity,transfer_ratio,payment_ratio,cashout_ratio,debit_ratio,balance_difference,receiver_balance_difference,amount_vs_average,current_vs_previous,step,type_y,amount_y,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
3cb7480d-46b2-4d21-b98f-e92a19573b29,1,CASH_IN,330218.42,2,330218.42,330218.42,330218.42,0,2,1,0,0,0,0,-330218.42,-330218.42,1,1,278,CASH_IN,330218.42,C632336343,20866.0,351084.42,C834976624,452419.57,122201.15,0,0
08582b72-07cc-4bcc-bae8-c8e86c7e0b62,2,PAYMENT,11647.08,2,11647.08,11647.08,11647.08,0,2,1,0,1,0,0,11647.08,0.0,1,1,15,PAYMENT,11647.08,C1264712553,30370.0,18722.92,M215391829,0.0,0.0,0,0
102930ee-c6de-4c29-8555-e7e58633ebf4,3,CASH_IN,152264.21,2,152264.21,152264.21,152264.21,0,2,1,0,0,0,0,-152264.21,-152264.21,1,1,10,CASH_IN,152264.21,C1746846248,106589.0,258853.21,C1607284477,201303.01,49038.8,0,0
3ec9fc92-5b85-4b00-b75a-d8cd6417a246,4,TRANSFER,1551760.63,2,1551760.63,1551760.63,1551760.63,0,2,1,1,0,0,0,0.0,1551760.63,1,1,403,TRANSFER,1551760.63,C333676753,0.0,0.0,C1564353608,3198359.45,4750120.08,0,0
7b6e4250-4235-41de-8495-d14f761a7a3e,5,CASH_IN,78172.3,2,78172.3,78172.3,78172.3,0,2,1,0,0,0,0,-78172.2999999998,-78172.3,1,1,206,CASH_IN,78172.3,C813403091,2921331.58,2999503.88,C1091768874,415821.9,337649.6,0,0
4a37b93f-8a76-4452-b2f2-d5448438e930,6,PAYMENT,915.13,2,915.13,915.13,915.13,0,2,1,0,1,0,0,0.0,0.0,1,1,259,PAYMENT,915.13,C2002954533,0.0,0.0,M290849763,0.0,0.0,0,0
475af582-37b8-479d-b096-8cb1f515f353,7,CASH_OUT,20603.87,2,20603.87,20603.87,20603.87,0,2,1,0,0,1,0,0.0,20603.87,1,1,188,CASH_OUT,20603.87,C813757373,0.0,0.0,C823291717,558068.66,578672.53,0,0
63f178b6-19cd-4179-872c-b9b178ff7d75,8,CASH_OUT,58605.72,2,58605.72,58605.72,58605.72,0,2,1,0,0,1,0,0.0,58605.7200000001,1,1,139,CASH_OUT,58605.72,C1850864812,0.0,0.0,C618657299,585494.94,644100.66,0,0
63689e2f-1c77-4661-af7a-de2fad662841,9,PAYMENT,4865.11,2,4865.11,4865.11,4865.11,0,2,1,0,1,0,0,0.0,0.0,1,1,230,PAYMENT,4865.11,C886849972,0.0,0.0,M623175144,0.0,0.0,0,0
fb396e0f-fb7b-442c-83c9-b0ac1cf0e78a,10,CASH_OUT,118131.63,2,118131.63,118131.63,118131.63,0,2,1,0,0,1,0,0.0,344555.5099999998,1,1,544,CASH_OUT,118131.63,C390714641,0.0,0.0,C366360355,8131691.35,8476246.86,0,0
ce7707c5-114e-4114-8edb-045568e3aba7,11,CASH_OUT,141100.88,2,141100.88,141100.88,141100.88,0,2,1,0,0,1,0,80506.0,141100.87,1,1,45,CASH_OUT,141100.88,C1514989792,80506.0,0.0,C409578677,89384.09,230484.96,0,0
b15000a3-7f50-4702-9645-02bdcfe98ff6,12,CASH_OUT,384177.48,2,384177.48,384177.48,384177.48,0,2,1,0,0,1,0,40348.0,384177.48,1,1,163,CASH_OUT,384177.48,C94444270,40348.0,0.0,C379896225,0.0,384177.48,0,0
9e283a19-1b35-4866-9942-fcb59a66ff95,13,CASH_OUT,153486.36,2,153486.36,153486.36,153486.36,0,2,1,0,0,1,0,20476.0,153486.37,1,1,211,CASH_OUT,153486.36,C513018655,20476.0,0.0,C1302281681,85173.16,238659.53,0,0
2fd67c63-6652-4c76-88fa-12b078e507d5,14,CASH_OUT,51042.59,2,51042.59,51042.59,51042.59,0,2,1,0,0,1,0,184.0,51042.6,1,1,302,CASH_OUT,51042.59,C122114408,184.0,0.0,C705120650,380143.14,431185.74,0,0
6d91ce42-9105-4e51-9fde-02dea133d0a6,15,PAYMENT,48691.16,2,48691.16,48691.16,48691.16,0,2,1,0,1,0,0,0.0,0.0,1,1,18,PAYMENT,48691.16,C1810046508,0.0,0.0,M487081598,0.0,0.0,0,0
